canonical_name,display_name,record_count,sources_found_in,likely_status
perry kelvin,"Perry, Kelvin",1,excel_location_uploads | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
joe knight,Joe Knight,1,excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
hoilal tom,"Hoilal, Tom",1,excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
joshua fretwell,Joshua Fretwell,1,excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
first step demolition,First Step Demolition,1,certs_2025_all | certs_A | excel_location_completed | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
void,Void,1,excel_location_completed | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
1st farmer,1st & Farmer,1,certs_2025_all | excel_location_completed | excel_location_need_start | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers,UNKNOWN
bates ken,"Bates, Ken",1,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
lefc,LEFC Corp,1,excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
re spurr,R.E. Spurr,1,excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
local undergound,Local Undergound Construction,1,excel_location_uploads | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
ae,A&E Builders,1,aia_all | certs_2025_all | excel_location_billing_invoices | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_wt_sw,UNKNOWN
rr,R&R Construction,1,unknown,UNKNOWN
verde fiesta,Verde Fiesta,1,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
drp,DRP,1,excel_credit_memos | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
